n_shots,accuracy,run_num,nspw,model,dataset
3,0.45,0,1,meta-llama/Llama-2-7b-hf,banking77
3,0.44,1,1,meta-llama/Llama-2-7b-hf,banking77
3,0.49,2,1,meta-llama/Llama-2-7b-hf,banking77
5,0.43,0,1,meta-llama/Llama-2-7b-hf,banking77
5,0.42,1,1,meta-llama/Llama-2-7b-hf,banking77
5,0.39,2,1,meta-llama/Llama-2-7b-hf,banking77
3,0.45,0,3,meta-llama/Llama-2-7b-hf,banking77
3,0.42,1,3,meta-llama/Llama-2-7b-hf,banking77
3,0.48,2,3,meta-llama/Llama-2-7b-hf,banking77
9,0.32,0,3,meta-llama/Llama-2-7b-hf,banking77
9,0.45,1,3,meta-llama/Llama-2-7b-hf,banking77
9,0.4,2,3,meta-llama/Llama-2-7b-hf,banking77
15,0.42,0,3,meta-llama/Llama-2-7b-hf,banking77
15,0.35,1,3,meta-llama/Llama-2-7b-hf,banking77
15,0.23,2,3,meta-llama/Llama-2-7b-hf,banking77
5,0.46,0,5,meta-llama/Llama-2-7b-hf,banking77
5,0.41,1,5,meta-llama/Llama-2-7b-hf,banking77
5,0.46,2,5,meta-llama/Llama-2-7b-hf,banking77
15,0.4,0,5,meta-llama/Llama-2-7b-hf,banking77
15,0.45,1,5,meta-llama/Llama-2-7b-hf,banking77
15,0.49,2,5,meta-llama/Llama-2-7b-hf,banking77
25,0.32,0,5,meta-llama/Llama-2-7b-hf,banking77
25,0.35,1,5,meta-llama/Llama-2-7b-hf,banking77
25,0.41,2,5,meta-llama/Llama-2-7b-hf,banking77
51,0.51,0,51,meta-llama/Llama-2-7b-hf,banking77
51,0.54,1,51,meta-llama/Llama-2-7b-hf,banking77
51,0.57,2,51,meta-llama/Llama-2-7b-hf,banking77
153,0.63,0,51,meta-llama/Llama-2-7b-hf,banking77
153,0.61,1,51,meta-llama/Llama-2-7b-hf,banking77
153,0.59,2,51,meta-llama/Llama-2-7b-hf,banking77
255,0.29,0,51,meta-llama/Llama-2-7b-hf,banking77
255,0.3,1,51,meta-llama/Llama-2-7b-hf,banking77
255,0.56,2,51,meta-llama/Llama-2-7b-hf,banking77
